Departamento,antioquia,arauca,atlantico,bolivar,boyaca,casanare,cauca,cesar,cordoba,cundinamarca,departamento nn,huila,magdalena,meta,nariño,norte de santander,putumayo,santander,sucre,tolima,vichada,caqueta,nd
Septiembre_2015,23596.833333333336,61162.2,0.0,13108.6,47087.3,173961.39999999997,1068.4666666666667,10141.1,1.633333333333333,370.3,0.0,29158.033333333333,191.60000000000002,518211.0333333333,308.4666666666666,4461.733333333334,41679.13333333334,64648.6,24.03333333333333,19342.633333333335,0.0,0,0
Octubre_2015,23334.258064516132,65102.67741935485,4.548387096774194,13306.838709677419,46589.93548387098,174778.6129032258,1044.0645161290322,10032.903225806454,1.967741935483871,359.7741935483871,0.0,28838.967741935485,190.64516129032256,513200.83870967734,271.1612903225807,4240.096774193549,39847.6129032258,64555.677419354826,23.999999999999996,18917.548387096776,0.0,0,0
Noviembre_2015,23394.533333333336,51096.066666666666,47.43333333333333,14298.566666666662,46347.93333333335,178014.93333333335,1059.3333333333335,10156.633333333335,1.4,353.1333333333334,0.0,29654.266666666666,234.30000000000004,508899.66666666674,309.4666666666666,4282.200000000001,39922.5,63913.43333333332,24.83333333333333,17678.233333333334,0.0,0,0
Diciembre_2015,22403.67741935484,62835.35483870969,53.93548387096774,13933.54838709677,44749.3870967742,177105.32258064515,1100.258064516129,10052.677419354839,0.7419354838709677,347.90322580645164,0.0,30537.67741935484,205.67741935483866,510999.48387096776,317.4516129032258,4503.935483870968,39980.16129032258,62478.3870967742,24.451612903225804,17110.1935483871,0.0,0,0
Enero_2016,22280.354838709674,61153.838709677424,36.54838709677419,13439.387096774195,44516.290322580644,176686.4193548387,1142.6451612903227,10175.93548387097,3.225806451612903,378.7741935483871,0.0,29317.03225806452,205.54838709677415,505466.09677419346,355.3870967741935,4168.806451612903,38060.67741935483,61144.83870967742,24.064516129032256,17170.77419354839,0,0,0
Febrero_2016,21939.793103448283,57320.689655172406,24.37931034482759,12856.827586206895,44929.862068965514,169559.10344827588,1096.6206896551723,9996.06896551724,2.793103448275862,347.5517241379311,0.0,28805.413793103442,202.82758620689657,491093.5172413792,320.1724137931034,3830.655172413793,36613.06896551724,59352.24137931035,24.758620689655167,16635.896551724134,0,0,0
Marzo_2016,21844.193548387095,55810.967741935485,22.25806451612903,12786.64516129032,43799.77419354839,165779.70967741936,1113.3225806451612,9791.967741935485,1.612903225806452,307.6129032258065,38.96774193548387,28025.54838709678,202.1612903225806,462536.06451612903,211.5483870967742,3823.7741935483864,35848.6129032258,58863.1935483871,25.419354838709673,16376.806451612902,0,0,0
Abril_2016,21761.766666666663,55205.23333333333,20.3,12497.766666666666,43265.6,167028.5,1064.9333333333334,9481.8,0.6666666666666666,285.8,46.16666666666666,26967.633333333335,207.5333333333333,460452.6666666666,353.8333333333333,3629.533333333333,38717.533333333326,57990.799999999996,23.300000000000004,16086.000000000002,0,0,0
Mayo_2016,21241.870967741932,54260.70967741936,37.29032258064516,12472.387096774193,41750.25806451613,165590.4193548387,1056.0967741935485,9465.258064516129,2.709677419354839,287.9677419354839,17.96774193548387,27693.22580645161,165.06451612903223,456816.0967741935,359.1612903225807,3511.290322580645,38373.0,56895.80645161291,21.709677419354843,15639.25806451613,0,0,0
Junio_2016,21609.06666666667,53861.999999999985,51.6,12126.566666666668,41538.96666666666,160193.46666666667,967.1,9400.333333333332,2.933333333333333,267.33333333333337,0.0,27313.63333333333,196.86666666666667,448447.03333333344,308.8,3558.666666666667,36028.36666666667,56866.466666666674,21.066666666666666,15491.433333333332,0,0,0
